duration_volumes,duration_frames,name,group,description
3,201,b,number,"blank, no dots"
1,67,d4,number,4 dots on the screen
9,603,b,number,"blank, no dots"
1,67,d3,number,3 dots on the screen
7,469,b,number,"blank, no dots"
1,67,d5,number,5 dots on the screen
5,335,b,number,"blank, no dots"
1,67,d2,number,2 dots on the screen
7,469,b,number,"blank, no dots"
1,67,d1,number,1 dot on the screen
9,603,b,number,"blank, no dots"
1,67,d4,number,4 dots on the screen
5,335,b,number,"blank, no dots"
1,67,d2,number,2 dots on the screen
7,469,b,number,"blank, no dots"
1,67,d5,number,5 dots on the screen
7,469,b,number,"blank, no dots"
1,67,d3,number,3 dots on the screen
5,335,b,number,"blank, no dots"
1,67,d1,number,1 dot on the screen
9,603,b,number,"blank, no dots"
1,67,d4,number,4 dots on the screen
9,603,b,number,"blank, no dots"
1,67,d1,number,1 dot on the screen
5,335,b,number,"blank, no dots"
1,67,d3,number,3 dots on the screen
9,603,b,number,"blank, no dots"
1,67,d2,number,2 dots on the screen
7,469,b,number,"blank, no dots"
1,67,d5,number,5 dots on the screen
6,402,b,number,"blank, no dots"
